x,y,Side,Balls,Strikes
0.83,2.5,L,0,0
0.82918393356,2.7630105746,L,0,0
0.826733574925,2.857588104,L,0,0
0.822642373497,2.92757248084,L,0,0
0.816899165026,2.98489323008,L,0,0
0.809487785903,3.03403288929,L,0,0
0.800386499717,3.0772332008,L,0,0
0.789567198156,3.1157942596,L,0,0
0.776994320198,3.15054277596,L,0,0
0.762623408149,3.18203854879,L,0,0
0.746399182132,3.21067826961,L,0,0
0.728252959271,3.23675280883,L,0,0
0.70809915816,3.2604811221,L,0,0
0.685830492842,3.28203144338,L,0,0
0.66131123579,3.30153512188,L,0,0
0.634367545267,3.31909598271,L,0,0
0.604773167084,3.3347968466,L,0,0
0.572227535156,3.34870418084,L,0,0
0.536320734925,3.36087148209,L,0,0
0.496474307489,3.37134177392,L,0,0
0.451833985599,3.38014947023,L,0,0
0.401056337746,3.38732177261,L,0,0
0.341824896866,3.39287971629,L,0,0
0.269507707467,3.39683894348,L,0,0
0.17177759375,3.39921025828,L,0,0
-0.100000001832,3.4,L,0,0
-0.287121513577,3.3989847451,L,0,0
-0.377747830217,3.39593782542,L,0,0
-0.449507428121,3.39085571569,L,0,0
-0.510868813768,3.38373233618,L,0,0
-0.565160408485,3.37455873369,L,0,0
-0.614089119142,3.36332260873,L,0,0
-0.658659053082,3.35000765899,L,0,0
-0.69951293176,3.33459269542,L,0,0
-0.737086214889,3.31705046755,L,0,0
-0.771686091227,3.29734610631,L,0,0
-0.803535788699,3.27543505088,L,0,0
-0.832801175477,3.25126026111,L,0,0
-0.859607597347,3.22474841531,L,0,0
-0.88405099589,3.19580462619,L,0,0
-0.906205507493,3.16430492539,L,0,0
-0.926128806079,3.13008526747,L,0,0
-0.943865947595,3.09292487756,L,0,0
-0.959452188529,3.05251994261,L,0,0
-0.972915082157,3.00843978816,L,0,0
-0.984276052952,2.96004875564,L,0,0
-0.993551584356,2.90635377186,L,0,0
-1.00075411253,2.84566668715,L,0,0
-1.00589269014,2.77469565626,L,0,0
-1.00897346449,2.68506523321,L,0,0
-1.01,2.49999995311,L,0,0
-1.00910171808,2.26696026017,L,0,0
-1.00640508833,2.17075736347,L,0,0
-1.00190469138,2.0974256603,L,0,0
-0.995591265997,2.03622000538,L,0,0
-0.987451351424,1.98301953767,L,0,0
-0.977466756045,1.9357386017,L,0,0
-0.965613818135,1.8931585798,L,0,0
-0.951862407754,1.85450115978,L,0,0
-0.936174596067,1.8192382245,L,0,0
-0.918502885176,1.78699546656,L,0,0
-0.898787841885,1.75749881567,L,0,0
-0.876954902403,1.73054253404,L,0,0
-0.852909993571,1.70596916568,L,0,0
-0.826533416926,1.68365638137,L,0,0
-0.797671102615,1.66350804042,L,0,0
-0.766121737314,1.64544794028,L,0,0
-0.731617144735,1.62941534153,L,0,0
-0.693791067081,1.61536170235,L,0,0
-0.652126744578,1.60324826031,L,0,0
-0.605862602929,1.59304422327,L,0,0
-0.553806231294,1.58472540948,L,0,0
-0.493916827019,1.57827322749,L,0,0
-0.422162149724,1.57367392071,L,0,0
-0.328028132524,1.57091802438,L,0,0
-0.10000000003,1.57,L,0,0
0.0469193504173,1.57122383109,L,0,0
0.132913026243,1.57489533286,L,0,0
0.204532608748,1.58101458239,L,0,0
0.267780217595,1.58958188271,L,0,0
0.325080508352,1.60059803463,L,0,0
0.377689987173,1.61406473834,L,0,0
0.426347589774,1.62998514842,L,0,0
0.471522025739,1.64836461713,L,0,0
0.513525427715,1.66921167615,L,0,0
0.552572455641,1.6925393291,L,0,0
0.588813871987,1.71836675993,L,0,0
0.622356925755,1.74672161238,L,0,0
0.653278387624,1.77764307424,L,0,0
0.681633240075,1.81118612801,L,0,0
0.707460670903,1.84742754436,L,0,0
0.73078832385,1.88647457228,L,0,0
0.751635382871,1.92847797426,L,0,0
0.770014851581,1.97365241023,L,0,0
0.785935261659,2.02231001283,L,0,0
0.799401965368,2.07491949165,L,0,0
0.81041811729,2.13221978241,L,0,0
0.818985417609,2.19546739125,L,0,0
0.82510466714,2.26708697376,L,0,0
0.828776168913,2.35308064958,L,0,0
0.83,2.49999999959,L,0,0
0.8,2.5,L,0,1
0.798984745104,2.68095267247,L,0,1
0.795937825417,2.76859130834,L,0,1
0.790855715689,2.83798520522,L,0,1
0.783732336176,2.89732368804,L,0,1
0.774558733689,2.94982544996,L,0,1
0.763322608727,2.9971411262,L,0,1
0.750007658985,3.04024172166,L,0,1
