plate_x,plate_z,z
-0.465,2.058,0.974725318729
1.436,2.965,0.0150252842364
-0.735,2.959,0.889212778336
0.105,1.92,0.9779722833
-0.556,2.987,0.96597427054
-0.267,2.426,0.988736124235
0.816,2.627,0.919820483406
-0.96,3.071,0.404417886482
-0.184,3.717,0.0512885690733
-1.442,2.191,0.0619745975856
0.812,1.958,0.882670777636
0.774,1.829,0.806394852551
-0.324,2.77,0.989832475904
0.572,0.954,0.0119873502554
0.94,1.851,0.540655748775
-1.349,3.302,0.0242170800011
-0.242,1.821,0.936253028242
-0.67,1.84,0.880108908425
-0.013,1.702,0.882554064778
-0.07,1.317,0.0470230020557
0.507,1.67,0.816385390279
0.042,2.533,0.991016045988
-1.818,2.421,0.0303438945974
-0.408,3.596,0.187103400853
0.129,4.199,0.0214598120503
1.024,1.563,0.0929063907365
-0.015,0.844,0.0137936615422
0.985,1.352,0.0283670582498
-1.592,3.732,0.00287975161731
1.07,3.093,0.205494027141
0.848,2.116,0.857812863053
-0.423,1.399,0.17600337716
-1.311,2.56,0.0255723201891
0.172,0.947,0.00987244582855
0.741,2.303,0.955674237794
1.368,1.2,0.00367612000582
0.89,2.127,0.799794651426
0.794,0.803,0.0116492218178
0.549,1.366,0.11830057164
-0.357,2.865,0.986379857972
-0.176,0.796,0.0151919044158
1.095,3.532,0.0352239282309
0.658,0.667,0.0174217637249
-1.505,3.524,0.0147451870501
0.889,1.481,0.154934046759
0.179,2.295,0.991267511818
0.374,4.029,0.0242524813652
0.66,1.199,0.0427817357268
0.675,1.962,0.947790481939
-0.514,3.36,0.699685588973
0.757,1.173,0.0124619003925
-0.356,2.14,0.98335127116
-0.083,2.623,0.990108101536
-0.479,1.354,0.0727564546424
1.169,3.03,0.0974368401661
1.336,1.949,0.0165430441709
1.454,2.535,0.0168298956409
0.083,2.586,0.990739493525
1.534,2.738,0.0155183965355
0.314,2.265,0.988985935635
1.273,2.524,0.022099321342
1.244,1.673,0.0196183431444
-0.402,2.307,0.98707985029
0.889,1.374,0.0760030793311
-0.42,2.794,0.987971627172
-1.069,2.222,0.221975676785
0.351,1.729,0.87455435977
-0.966,3.624,0.0285610162668
0.814,1.948,0.868174737161
0.584,2.274,0.983255328325
1.26,2.893,0.022472567345
-1.045,2.167,0.288295277173
0.803,2.863,0.873155833794
0.731,2.285,0.959832436532
0.291,1.283,0.0246132077053
0.946,1.323,0.0363199938269
0.102,1.618,0.758047941895
-1.135,2.13,0.0988721387762
-0.391,1.241,0.0293892247809
0.943,2.42,0.704454919075
-0.19,2.371,0.989142416974
0.355,1.813,0.931930077541
0.359,1.074,0.0102876885762
-0.604,3.654,0.0963377809562
1.293,2.18,0.0209478165699
0.367,1.007,0.0103374871952
-1.057,3.473,0.0546331452921
-0.408,1.952,0.969940809459
0.113,1.239,0.0251714401158
-0.445,2.743,0.987751937397
0.872,1.948,0.769869614504
0.315,3.104,0.971206001834
0.041,2.023,0.983738350633
-0.614,2.63,0.981432650124
1.248,1.746,0.0196239298904
0.526,2.483,0.983645525894
-1.199,1.85,0.0440144008838
1.667,3.004,0.0134827217174
-0.68,2.513,0.953254669227
1.219,2.025,0.0388275941969
-0.616,0.943,0.0166156383731
-0.021,2.666,0.990084127952
0.141,1.602,0.724843049481
1.918,2.572,0.014013555357
0.381,1.797,0.937704737014
-0.065,2.1,0.978631744575
0.158,1.75,0.916988091482
1.068,1.384,0.0560083050682
-0.535,2.425,0.981459030763
-0.052,3.13,0.970626500725
0.078,3.078,0.986544057765
0.267,2.637,0.990860569377
-0.113,2.716,0.990267757624
0.087,2.12,0.987725804359
-0.255,1.105,0.0104673973514
-0.02,1.663,0.814508157672
0.942,3.461,0.127780864865
0.11,2.58,0.991042528269
0.52,1.936,0.958401716081
-1.122,3.737,0.00741846632307
1.123,2.214,0.198447985937
1.223,3.527,0.0111396985042
-1.161,3.351,0.0584421260831
-0.473,2.955,0.968601985163
0.674,2.607,0.977012048933
-1.025,2.625,0.293960228883
1.684,2.568,0.0139272131525
-0.307,0.876,0.0125576556817
1.073,1.843,0.173485891571
-0.301,1.362,0.113060852533
0.475,0.999,0.0140262836129
0.426,2.088,0.977418160354
1.189,1.98,0.0681962879283
0.482,2.56,0.984808498497
0.683,2.213,0.969338435241
0.577,1.939,0.958003165211
-0.168,2.523,0.975369224425
0.469,2.291,0.990076000354
0.985,2.387,0.539562475919
-1.049,4.133,0.00892162715173
0.757,1.752,0.74778445425
1.353,2.515,0.0174749475824
-1.0,2.472,0.388343599387
0.671,3.803,0.0170440294455
1.381,1.99,0.0151957834107
-0.068,2.901,0.988739346625
-0.961,1.502,0.127406658851
-1.093,1.105,0.0091011457892
-0.074,1.418,0.257295057925
0.461,2.143,0.986477592626
1.501,2.874,0.0118028934822
0.344,2.747,0.991059940706
-0.631,1.381,0.110716313909
-0.197,0.835,0.0150421470659
0.475,1.314,0.0435214902485
-0.743,4.173,0.0134358072473
-0.641,0.828,0.0175167698585
-0.02,2.523,0.986876224269
0.593,1.96,0.963043071314
1.632,2.33,0.0158871701588
-0.18,2.062,0.984858638726
0.27,1.796,0.933041229584
0.762,3.742,0.0268165337497
-0.675,3.418,0.491187111171
0.895,1.147,0.0170502623069
0.783,1.009,0.0151536032236
0.747,2.504,0.940893582165
-0.044,2.278,0.990283493647
-0.338,0.824,0.0162726792652
1.246,1.187,0.00356265406186
-0.079,1.954,0.977270830185
-0.118,1.043,0.0149900267727
-0.782,2.208,0.879977417145
-0.246,3.666,0.0758357288148
-0.216,1.27,0.037436679594
0.837,3.053,0.812364954255
1.052,1.664,0.14682066591
-1.716,2.652,0.0197324986116
-0.923,1.014,0.0215216272338
0.457,1.903,0.959408089128
0.61,1.611,0.675413055621
0.928,1.869,0.590786980986
0.538,3.711,0.0544846293263
0.341,1.128,0.0111613446452
-0.632,3.124,0.941116750271
0.371,2.068,0.986068401549
-0.313,3.539,0.385980267938
-0.065,2.341,0.990485142979
0.019,2.319,0.99142157495
-1.445,2.821,0.0259611148964
0.693,1.591,0.563414388501
0.675,3.79,0.0203277985314
0.182,4.044,0.0231174924195
-0.375,1.361,0.111401190633
1.807,2.456,0.01244589933
1.551,1.939,0.0202123201273
-0.262,2.508,0.987288050545
-1.489,2.679,0.0216113324215
0.612,2.43,0.983257760841
-0.767,1.395,0.171602563012
-0.069,0.681,0.0145278525029
-0.231,3.731,0.0415357561113
0.551,1.811,0.885506044016
-0.519,1.55,0.54054037285
0.608,1.703,0.827233594372
-0.165,3.32,0.803916412353
-0.531,2.09,0.967035850976
1.098,3.923,0.00817350608208
0.837,1.613,0.459676748017
-0.437,2.355,0.988178129747
0.357,0.943,0.0104318650589
0.588,2.497,0.981956534719
-0.059,2.403,0.990915329046
-1.135,3.881,0.00334192281216
-0.981,1.358,0.0460745817646
-0.781,2.45,0.892042973232
0.73,0.785,0.0123563154326
0.063,1.246,0.031049114562
1.046,2.298,0.442196553724
0.838,3.462,0.189368137248
0.384,2.73,0.990967092707
-0.691,2.769,0.934257630862
1.282,2.614,0.0274159827748
-0.242,1.283,0.0290389007369
0.949,1.323,0.0341532656959
0.254,1.268,0.0302270636618
-0.669,1.826,0.889602331187
1.147,2.647,0.173575588659
0.786,2.621,0.926256929396
1.429,2.908,0.0128102136414
1.004,1.752,0.212860607903
0.21,3.032,0.987845093643
0.553,2.488,0.972439256257
0.522,1.263,0.031665216487
-1.661,2.879,0.0166543261355
-0.144,2.75,0.98888167403
0.234,2.299,0.991303328579
-1.407,2.819,0.0196740416203
0.601,1.354,0.072380229248
-0.905,2.801,0.726395814699
0.605,2.967,0.97083440076
-0.157,1.308,0.0398504389477
0.388,1.96,0.981203435598
1.164,3.345,0.0468232076377
-1.105,2.165,0.179992446674
1.428,1.342,0.0081029206016
0.55,1.435,0.196661642122
0.396,2.115,0.987251804671
0.059,3.234,0.915633535459
-0.316,2.936,0.988286835265
1.301,3.086,0.0180378596816
0.601,1.353,0.0738738926855
0.22,1.511,0.479178609486
0.722,2.562,0.968843078655
0.892,1.55,0.2652723993
0.071,2.876,0.99002137367
0.851,2.094,0.839216765287
1.521,1.596,0.0121278583173
0.539,1.539,0.537976605091
-1.222,2.457,0.0407475999964
-1.376,3.717,0.00397891857124
-0.137,3.154,0.961869466106
1.375,2.686,0.0139371210084
1.298,1.469,0.0136722069225
0.652,2.582,0.969867936875
1.343,3.628,0.00360303918056
0.175,3.312,0.834703811068
0.993,1.944,0.36057213566
0.567,3.5,0.351254184887
0.376,2.135,0.987063974762
0.699,3.269,0.681755477172
1.216,3.506,0.014796978391
-0.235,2.106,0.977414916158
-0.789,3.655,0.0663576056975
1.465,2.5,0.0206525177367
0.941,2.782,0.674922857514
-0.112,3.113,0.960746118608
-0.316,3.219,0.930904517586
-0.533,0.63,0.0147649061997
0.589,3.504,0.320157691391
-0.057,2.942,0.988611565431
0.881,2.267,0.820089422377
-1.274,3.353,0.0315916716009
1.198,1.593,0.0269470858754
-1.343,2.384,0.057173602439
-0.187,3.088,0.983254174167
1.469,1.901,0.0242763056444
0.326,2.933,0.989301394725
0.812,3.494,0.193982201273
0.883,2.118,0.785743792259
0.73,2.605,0.95895692429
1.144,1.251,0.0152327248994
1.243,2.471,0.0344154454187
-0.473,0.829,0.0105070367786
0.516,3.733,0.0423717785829
0.817,3.143,0.762482325716
-0.204,1.343,0.0794657814258
0.5,3.896,0.0191898439593
-1.245,1.982,0.0317045067301
-0.588,2.376,0.977416657128
-1.043,2.428,0.29591538238
-1.135,3.656,0.0127095991077
-0.061,2.932,0.989534685721
-0.614,2.568,0.981892625886
-0.026,3.675,0.0803817806447
-1.61,2.169,0.0364569429369
1.596,2.949,0.0124470836961
0.406,2.216,0.989259047924
1.229,1.046,0.00295871974137
0.863,2.11,0.832436591425
0.854,3.409,0.243622300856
1.666,1.485,0.011882134287
-0.415,1.76,0.907408166297
-0.215,3.817,0.0196175573039
0.416,1.683,0.852467244477
0.517,1.672,0.810431542175
0.027,1.922,0.977886564548
-0.799,2.895,0.845163860169
-0.992,1.624,0.206572354087
-0.204,3.522,0.385079963414
-0.664,1.757,0.86301490037
-1.331,2.583,0.0301371678422
-1.396,3.558,0.0129452091145
0.601,1.612,0.676697430816
0.061,2.865,0.986773020958
0.477,1.046,0.0165034195645
-0.943,2.708,0.578811609822
-1.108,3.107,0.131791451537
-0.453,2.639,0.985848399767
0.765,1.944,0.884397510125
0.702,2.356,0.978916164292
0.131,2.163,0.990288410306
1.387,1.428,0.0124881300499
0.141,3.856,0.0228805981002
0.269,2.337,0.99097571037
0.001,1.104,0.0138191958103
0.75,3.711,0.0343218005733
-1.276,1.179,0.00484911595957
-0.304,0.891,0.0118906639728
-0.166,1.1,0.013672661814
1.116,2.782,0.165003963
0.667,3.432,0.387345956076
1.865,1.902,0.0160107353324
0.137,3.27,0.874852589671
0.468,0.954,0.0123800030003
-0.219,1.693,0.845922841417
-1.611,2.636,0.0199825081803
0.748,1.374,0.0792215572968
1.028,1.278,0.0145229439276
-0.476,2.186,0.972092578872
-1.724,2.437,0.0275946481512
-0.156,1.379,0.112670382627
0.507,2.133,0.980113731214
0.145,1.665,0.821807978834
0.695,1.961,0.948437656284
0.443,1.669,0.838146814273
0.712,1.558,0.46897864485
0.968,2.514,0.56968107884
0.217,2.39,0.991207413186
1.221,2.267,0.0332528333043
1.475,2.718,0.0184973097138
1.008,1.689,0.159841601359
-0.337,0.922,0.0163341503022
-0.16,1.335,0.0768208946704
-0.855,1.786,0.554809928799
-0.757,3.125,0.820170697636
1.578,2.923,0.0121191373728
1.556,2.299,0.0144735712448
0.412,2.094,0.977200105526
0.512,1.517,0.467163792981
-0.787,3.953,0.0149954135866
0.35,2.441,0.991037111932
-0.433,2.405,0.987681317759
0.299,1.02,0.0111270712814
-1.167,2.988,0.0632900153577
0.997,1.063,0.0107469607928
0.163,2.05,0.985779380722
-0.39,1.785,0.922054309576
-0.091,1.953,0.975434801003
0.285,1.297,0.0209068318823
-0.038,1.605,0.70446609178
0.27,3.824,0.0219670064328
1.534,2.107,0.0226958923833
0.871,2.241,0.849368752872
0.283,3.841,0.0214809858944
0.532,1.788,0.877938600441
0.682,2.221,0.969455003063
0.506,1.563,0.599454666387
-1.084,3.48,0.0486340456419
0.231,1.517,0.495072711322
0.29,1.784,0.933696234404
0.958,1.745,0.364757513183
0.372,1.827,0.958298601636
-1.238,3.912,0.00231746918305
1.087,1.312,0.0154651372228
-0.871,1.613,0.352324622739
-0.238,2.144,0.985455353643
0.475,3.31,0.787943715844
1.559,3.229,0.00853025969493
-0.336,2.437,0.989708539399
-1.013,3.722,0.0142465774575
-1.86,2.168,0.0361934525311
-0.295,1.374,0.115278009597
1.269,1.904,0.018343178765
0.686,1.517,0.369990811297
0.152,2.212,0.989591048319
0.374,2.796,0.990424398782
-0.496,1.66,0.746959176813
0.2,2.765,0.991050564634
0.89,1.433,0.114065851367
-0.458,2.187,0.982055678212
0.944,1.453,0.0875382809096
0.46,0.973,0.012752366342
-0.896,1.889,0.611143379544
0.668,3.151,0.876465371208
-0.052,2.065,0.986119657091
1.035,1.606,0.113061885964
-0.503,2.411,0.982994748827
-0.261,2.435,0.98870933509
-1.085,1.596,0.0945973025823
0.311,1.118,0.0122810861807
-0.593,2.439,0.971264560819
0.539,2.296,0.979959833195
0.607,2.649,0.981285987898
-1.229,3.053,0.0337067834974
0.457,2.002,0.965634786032
1.429,2.142,0.0273626230175
-1.066,3.732,0.011169093109
-0.185,1.81,0.924743230382
-0.25,3.79,0.0273133913035
-0.428,2.165,0.986127172686
